Ano,Jogo,Time1,p1,p2,Time2,Competição,Fase,tr1,tr2,pe1,pe2,Data
20,20,México,,,Estados Unidos,Eliminatórias,Pre-AMERICA,,,,,11/08/2021 19:00
20,19,Venezuela,,,Peru,Eliminatórias,Pre-AMERICA,,,,,11/08/2021 19:00
20,18,Uruguai,,,Trinidad e Tobago,Eliminatórias,Pre-AMERICA,,,,,11/08/2021 19:00
20,17,Honduras,,,El Salvador,Eliminatórias,Pre-AMERICA,,,,,11/08/2021 19:00
20,16,Coréia do Norte,,,Kwait,Eliminatórias,Pre-ASIA,,,,,10/08/2021 07:00
20,15,Paquistão,,,Bahrein,Eliminatórias,Pre-ASIA,,,,,10/08/2021 07:00
20,14,China,,,Iraque,Eliminatórias,Pre-ASIA,,,,,10/08/2021 07:00
20,13,Hong Kong,,,Índia,Eliminatórias,Pre-ASIA,,,,,10/08/2021 07:00
20,12,Mali,,,Sudão,Eliminatórias,Pre-AFRICA,,,,,09/08/2021 16:00
20,11,Zâmbia,,,África do Sul,Eliminatórias,Pre-AFRICA,,,,,09/08/2021 16:00
20,10,RD do Congo,,,Ruanda,Eliminatórias,Pre-AFRICA,,,,,09/08/2021 16:00
20,9,Angola,,,Congo,Eliminatórias,Pre-AFRICA,,,,,09/08/2021 16:00
20,8,Holanda,,,Israel,Eliminatórias,Pre-EURO,,,,,08/08/2021 16:00
20,7,Rep Tcheca,,,Eslováquia,Eliminatórias,Pre-EURO,,,,,08/08/2021 16:00
20,6,Dinamarca,,,Lituânia,Eliminatórias,Pre-EURO,,,,,08/08/2021 16:00
20,5,Ucrânia,,,Moldávia,Eliminatórias,Pre-EURO,,,,,08/08/2021 16:00
20,4,Irlanda,,,Irlanda do Norte,Eliminatórias,Pre-EURO,,,,,07/08/2021 16:00
20,3,Bulgária,,,Grécia,Eliminatórias,Pre-EURO,,,,,07/08/2021 16:00
20,2,Bósnia,,,Áustria,Eliminatórias,Pre-EURO,,,,,07/08/2021 16:00
20,1,Islândia,,,Liechenstein,Eliminatórias,Pre-EURO,,,,,07/08/2021 16:00
